단어,품사,주요 의미(핵심 뜻),핵심 개념 요약(한 문장),어원·역사적 변천,의미 확장(현재 쓰임 포함),뉘앙스·레지스터,문법적 특징,자동사/타동사,가산/불가산,전치사 패턴,필수 보어 등,형태론적 분석(접두사·어근·접미사),파생어·관련어,혼동 주의 단어,동의어·유사어,반의어,콜로케이션(뜻 포함),예문(난이도별 2~3개),학습 팁,교과/분야 태그,빈도 정도(고/중/저),단어 난이도(1~10),체크용,미니 퀴즈(3문항 선택형)
compel,verb,강요하다; 억지로 시키다,저항할 수 없게 어떤 행동을 하게 만들다.,Latin compellere,법률·격식적,격식,타동,타동,타동사,compel O to-v,to-v,O,com+pel,compelling,compare와 혼동,force,discourage,They were compelled to leave.,Circumstances compelled action.,compel O to-v 고정.,"법, 일반",상,2,"O, X: compel=자발적으로 하게 하다 → X, Q1 형용사형? compelling"
illustrate,verb,설명하다; 예시로 보여주다,예·그림 등을 이용해 명확히 설명.,Latin illustrare,교과서·문학,격식/일상,타동사,타동사,타동,illustrate + N,해당 없음,해당 없음,il+lustr+ate,illustration,illuminate와 혼동,demonstrate,confuse,She illustrated her point.,The charts illustrate trends.,illustration=삽화.,교육,상,1,"O, X: illustrate=혼란 주다 → X, Q1 명사형? illustration"
diminish,verb,줄어들다; 줄이다,크기·양·중요성이 감소.,Latin diminuere,자연·경제 분야,격식,"자동, 타동","자동, 타동","auto, tado",diminish + N,해당 없음,해당 없음,di+minish,diminished,diminutive와 혼동,decrease,increase,His power diminished.,They diminished the effects.,주로 격식감.,"경제, 일반",중,2,"O, X: diminish=증가시키다 → X, Q1 반의어? increase"
lessen,verb,줄이다,정도·강도를 감소시킴.,Old English lǣs,diminish와 유사,일상,"타동, 자동","타동, 자동","auto, tado",lessen + N,해당 없음,해당 없음,less+en,lessening,lesson과 혼동,reduce,heighten,They tried to lessen pain.,Noise lessened over time.,일상적 reduce 느낌.,일반,상,1,"O, X: lessen=강하게 하다 → X, Q1 동의어? reduce"
shrink,verb,줄어들다; 오그라들다,크기·양이 줄거나 수축.,Old English scrincan,비유적 자신감 shrink,일상,"자동, 타동","자동, 타동","auto, tado",shrink + N,해당 없음,해당 없음,shrink,shrunken,drink와 변화 유사,contract,expand,The shirt shrank.,Fear made him shrink back.,shrink-shrank-shrunk.,일반,상,1,"O, X: shrink=팽창하다 → X, Q1 과거형? shrank"
instructive,adjective,유익한; 교육적인,배움에 도움을 주는 성질.,instruct에서 파생,격식,격식,형용사,해당 없음,해당 없음,instructive lesson,해당 없음,해당 없음,in+struct+ive,instruction,destructive와 혼동,educational,uninformative,an instructive book,Her talk was instructive.,education 연상.,교육,중,2,"O, X: instructive=무익한 → X, Q1 동사형? instruct"
stationary,adjective,정지한; 움직이지 않는,고정되어 움직이지 않음.,Latin stationarius,stationary vs stationery,일상/격식,형용사,해당 없음,해당 없음,stay stationary,해당 없음,해당 없음,station+ary,station,stationery(문구)와 혼동,still,moving,The car remained stationary.,Stationary objects are easier to measure.,stationery와 철자 구분.,"일반, 과학",상,2,"O, X: stationary=움직이는 → X, Q1 혼동주의 단어? stationery"
mobility,noun,이동성; 유동성,이동하거나 변화 가능한 능력.,Latin mobilis,사회·경제 mobility,격식,명사,해당 없음,불가산,mobility of,of,해당 없음,mobil+ity,mobile,immobility와 혼동,movement,immobility,"social mobility, mobility of labor",High mobility is needed.,-ity 명사형.,"사회, 경제",상,2,"O, X: mobility=정체 → X, Q1 반의어? immobility"
collect,verb,모으다; 수집하다,여러 것을 한데 모으는 행위.,Latin colligere,요금 징수 collect,일상,"타동, 자동","타동, 자동","auto, tado",collect + N,해당 없음,해당 없음,col+lect,collection,college와 혼동,gather,disperse,He collects stamps.,They collected data.,collection과 연계.,일상,상,1,"O, X: collect=흩어지다 → X, Q1 명사형? collection"
deliver,verb,배달하다; 전달하다; 분만시키다,어떤 것을 목적지 또는 사람에게 가져다 줌.,Latin deliberare,연설 deliver,일상,타동사,타동사,타동,deliver + N,해당 없음,해당 없음,de+liv+er,delivery,deliberate와 혼동,send,withhold,They delivered the package.,She delivered a speech.,연설 deliver 기억.,일반,상,1,"O, X: deliver=가로막다 → X, Q1 명사형? delivery"
